MINERAL_DEPOSIT_NO,DEPOSIT_NAME,DEPOSIT_SYNONYMS,DISCOVERY_YEAR,DEPOSIT_CLASS,DEPOSIT_STATUS,DEPOSIT_SUMMARY,COMMODITIES,MINEROLOGY_ORE,MINEROLOGY_GANGUE,MINERAL_DISTRICT,MINE_SUMMARY_CARD,REFERENCE_FLAG,MAP_250000,MAP_100000,MAP_50000,ELEVATION_M
2096,WILLIGAN,WILLIGUN HILL,1890,Occurrence,Abandoned,2 sub-parallel mineralised zones ~91m apart in fault zones on line of the Willigan Fault. Likely only small production.,Copper,"Azurite,  Chalcocite,  Malachite","Hematite,  Iron oxide (non specific),  Jasper,  Kaolinite,  Magnetite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2103,YUDNAMUTANA,CARBINE; CHAPPELLS LODE; DAISY; FLINDERS COPPER MINING COMPANY; GAP; GREENSTONE; KING GEORGE; KLINAX; M2; MOLDER AND RANKINES; MOLLER AND RANKINES; MOLLER AND RANKINS; MONLES CLAIM; MOULES CLAIM; SLUG HILL; WHEAL FORTUNE; YELDA; YELTRO; YUDA; YUDNAMUTANA 1,1862,Occurrence,Recreation,"Cu mineralisation in steep, lenticular lodes in NS-trending fracture system on anticlinal fold. Host was actinolitic marble of the Wywyana Formation. Production for 1862-1918 >1,800t dressed ore @ ~30%Cu.",Copper,"Chalcocite,  Chalcopyrite,  Cuprite,  Malachite","Hematite,  Quartz,  Siderite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2104,SIR DOMINIC,DOMINICK; YUDNAMUTANA 8,1862,Prospect,Abandoned,"secondary Cu ores in crush zones of the Jubilee Fault. Host was metasediment of the Wywyana Formation. Production >500 tonnes, no yields or grades identified. Exploration in the 1990s for 10m wide zone at 1.49 ppm Au SE of the Sir Dominic area.","Copper,  Gold","Azurite,  Bismuthinite,  Cuprite,  Malachite","Kaolinite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2105,DALY,DALY-SIR DOMINIC; LYNDHURST; YUDNAMUTANA 6,1862,Deposit,Abandoned,surface Cu mineralisation in quartz-veins in upper section of Searle Conglomerate. Incomplete production records for 1907-19 1525t ore raised for yield of 61t copper metal product.,Copper,"Arsenopyrite,  Azurite,  Chalcopyrite,  Malachite","Iron oxide (non specific),  Manganese Oxide,  Pyrite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2106,OLD KNOLL,OLD NOLL; YUDNAMUTANA 5,1866,Occurrence,Abandoned,"located west of the Sir Dominic Mine, but mineralisation occurred at a higher stratigraphic level. Early mining operations focused on relatively shallow secondary (enriched) copper mineralisation associated with short quartz veins.",Copper,"Atacamite,  Azurite,  Chalcocite,  Chalcopyrite,  Cuprite,  Malachite","Chlorite,  Hematite  Micaceous,  Iron oxide (non specific),  Kaolinite,  Pyrite,  Quartz,  Sericite,  Tourmaline",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2107,JUBILEE,,1935,Occurrence,Abandoned,"Copper carbonates in shear and breccia zones in sheared host Tapley Hill Formation, within the wide crush zone that defined the Jubilee Fault Zone. No production figure was determined. 4 percussion holes recorded copper values to 0.2%Cu.","Copper,  Gold","Azurite,  Gold,  Malachite","Bismuth,  Hematite,  Limonite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2114,BLACK QUEEN EAST,,1899,Occurrence,Abandoned,"Cu mineralisation in shear zones in host actinolite marble of Wywyana Formation. Hole S2 penetrated actinolitic marble with talc alteration, black magnetite oxide from 26-44m, with minor specular hematite, Cu at 0.21%. Trace chalcopyrite recorded.","Copper,  Talc","Azurite,  Chalcocite,  Chalcopyrite,  Cuprite,  Malachite","Hematite,  Limonite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2115,BLACK QUEEN WEST,BLACK QUEEN WEST,1899,Occurrence,Abandoned,"shear zones within actinolite marble of the Mesoproterozoic Wywyana Formation. The associated rocks trended WNW, dipped 50-70 N, and were subject to minor warping near NW-trending breccia or shear zones dipping SW.",Copper,"Azurite,  Chalcocite,  Chalcopyrite,  Cuprite,  Malachite","Hematite,  Quartz",Yudnamutana Copper,N,Y,SH5409 COPLEY,6737 Umberatana,1,
2116,BLUE,,1891,Occurrence,Abandoned,shear-hosted Cu mineralisation in >4 lodes in host metasediment of the Wortupa Quartzite on S limb of Umberatana Syncline. Incomplete production records for 1907-21 of 782t ore raised.,Copper,"Azurite,  Chalcanthite,  Chalcopyrite,  Malachite,  Melanterite","Hematite,  Pyrite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,4,
2118,COCKSCOMB,YERELINA VALLEY; YUDNAMUTANA 10,1908,Occurrence,Abandoned,lenticular lode of quartz-iron oxide-copper carbonate associated with shear. Diamond hole confirmed lode with 0.12-0.25%Cu from 60-73m. Thin band of radioactive material associated with a quartz-feldspar actinolite rock penetrated from 24.7-25.3 m.,Copper,"Azurite,  Cuprite,  Malachite","Hematite,  Jasper,  Limonite,  Magnetite,  Manganese Oxide,  Pyrite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2144,GRAND JUNCTION,JUNCTION; YUDNAMUTANA 7,1904,Occurrence,Abandoned,"Cu-(Co-Au) mineralisation in a shear zone in host actinolite marble and calc-silicate of the Wywyana Formation and close to the contact with Paralana Quartzite. Rock chip geochemistry identified Cu to 15.8%, Co to 230ppm, and Au to 1.1ppm.","Copper,  Cobalt,  Gold","Chalcopyrite,  Cuprite,  Malachite,  Pyrite","Barite,  Calcite,  Hematite  Micaceous,  Quartz,  Siderite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2151,HAMILTON,,1904,Occurrence,Abandoned,"calcareous, ferruginous and siliceous breccia on Hamilton Fault in host metasediment of the Amberoona Formation. Sample from 1904 assayed 18.7%Cu, and ~42g/t Ag, with trace Au.","Copper,  Silver","Argentite,  Chalcocite,  Chalcopyrite,  Cuprite,  Gold,  Malachite","Iron oxide (non specific),  Quartz,  Siderite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2160,MOUNT MCDONNELL,MOUNT MACDONNELL; MOUNT MCDONALD; MOUNT MCDONNELL VALLEY; PRINCE ALBERT,1881,Occurrence,Abandoned,"Cu-(Bi-Au-Ag-U) mineralisation on a local fault within a broader shear zone in host actinolitic rocks of the Wywyana Formation. Incomplete recorded production 17.8 tonnes, and 20 tonne Bi ore in 1938.","Copper,  Bismuth,  Gold","Argentite,  Azurite,  Bismuth,  Bismuthinite,  Bismutite,  Bornite,  Chalcopyrite,  Gold,  Malachite","Calcite,  Hematite,  Hematite  Micaceous,  Limonite,  Pyrite,  Quartz,  Siderite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
4157,BALANCING ROCK,,1976,Occurrence,Not worked,"rock chip Cu geochemical anomaly from banded calcite marble over 1200m distance. Subsequent drilling identified best assay of 6m @ 1.1% Cu from near surface primary sulphide zone in a shear, beneath a thin oxidized layer enriched to 5.5%Cu.",Copper,"Chalcopyrite,  Malachite","Carbonate,  Quartz",Yudnamutana Copper,N,Y,SH5409 COPLEY,6737 Umberatana,1,
4166,BERNINIS,,1897,Occurrence,Not worked,"small prospecting pit on a copper show. The 1 m wide lode was hosted by quartzite trending 169, dipping east. A sample assayed a trace of gold, silver, and 20% Cu. Location uncertai, lode reported as across Wallace Gully.",Copper,Malachite,Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
4255,GREAT OVERSIGHT,,1908,Occurrence,Abandoned,"location uncertain, reported as 800m west of Wheal Turner. MC 8504 granted in 1908, cancelled in 1911. Copper show in host Skillogalee Dolomite, with recorded recovery of 20 tonne, for 3 tonne treated and 900kg copper metal product recovered.",Copper,Malachite,Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,4,
4307,MOLLER AND RANKINES,MC 5399; MC 5400; MC 5401; MC 5504; MC 5505; MC 5534,1904,Occurrence,Not worked,"claims taken out in 1904 on shows of copper mineralisation. Located on east side of Black Queen, thin 10-20cm clay lode with copper sulphides and malachite at junction of micaceous schist and hornblendic rock.",Copper,"Chalcopyrite,  Malachite","Clay mineral,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
4314,MOULES CLAIM,PFITZNERS CLAIM,,Occurrence,Abandoned,"9-10m wide lode of copper-micaceous hematite as infill of fractures in quartzite host of the Callanna Group. Lode trends N3E, underlies to W. Location uncertain, on the Yudnamutana line-of-lode and ~1200m SW of Yudnamutana Mine.",Copper,"Chalcocite,  Chalcopyrite,  Cuprite,  Malachite","Hematite  Micaceous,  Magnetite,  Pyrite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
4418,VALLEY,SHAMROCK VALLEY,1967,Deposit,Not worked,"uraninite and pitchblende inclusions in actinolite in a brecciated quartz-actinolite vein associated with minor magnetite pods.  Average grade 20.7lbs U3O8/ton, with tonnage potential of 45000 tonne at 450 ppm U3O8.","Uranium,  Uranium Oxide","Pitchblende,  Uraninite",Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
4429,WHEAL MARIA,MC 2668,1863,Occurrence,Abandoned,copper mineralisation in quartz lode trending NS for ~100m in host metasediment of the Yankaninna Formation.,Copper,Malachite,Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
4444,YELDA,YUDNAMUTANA,,Occurrence,Abandoned,"strong lode running down the face of the hill for ~275m, with 2 parallel subordinate lodes. Location from archival Mineral Resources plans database is SW of Wheal Austin.",Copper,Malachite,Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
9208,WHEAL GLEESON SOUTH 1,WHEAL GLEESON SOUTH,2006,Occurrence,Not worked,"old workings. 2 hole drilled 200m west in 2006 by Quasar Resources Pty Ltd on surface geochemistry copper anomaly failed to reach target depth. Host lithology unknown, but from 100K digital map is Wooltana Volcanics.",Copper,Malachite,,Yudnamutana Copper,N,Y,SH5409 COPLEY,6737 Umberatana,1,
9223,WATERFALL CREEK,,,Occurrence,Not worked,"located from mine symbol on 100K topographic map, presumed copper show in vein in host Freeling Heights Quartzite.",Copper,Malachite,Quartz,Yudnamutana Copper,N,N,SH5409 COPLEY,6737 Umberatana,1,
9224,PINNACLES SOUTH,,1974,Occurrence,Not worked,located from mine symbol on 100K topographic map. Tested in holes YP 9-10. Surface copper show in host metasediment of the Wywyana Formation.,Copper,Malachite,,Yudnamutana Copper,N,Y,SH5409 COPLEY,6737 Umberatana,1,
